#NAMES	IB1	IB2	IB3	IB4	IB5	IB6	IB7	IB8	IB9	IB10
yafU	0.220000	0.307000	-0.024000	0.171000	-0.123000	-0.071000	-0.163000		-0.600000	-0.205000
yaaH				-0.186000				-0.740000		
yaaH				-0.001000				-0.252000		
ykgI		-0.557000						-0.815000		
ykgI		0.077000						-1.308000		
insA_1	-0.107000	0.109000	0.077000	-0.265000					-0.075000	-0.189000
insA_1	0.099000	0.202000	-0.071000	-0.097000					0.164000	0.129000
yahA	-0.188000	-0.256000		-0.597000				-1.469000		-0.700000
yahA	-0.296000	-0.365000		-0.406000				-0.651000		-0.233000
b0105	-0.821000		-0.075000	-0.011000			-0.219000	-0.191000	-0.208000	
b0105	-0.461000		-0.016000	0.063000			0.131000	-0.240000	0.051000	
yaeD		-0.126000	-0.025000	-0.034000				0.046000		0.174000
yaeD		0.335000	-0.005000	0.218000				0.186000		0.204000
yacH	-0.054000	0.222000	0.056000	-0.079000						
yacH	0.560000	0.261000	0.115000	0.073000						
yafV	0.022000	0.165000	-0.029000	-0.209000		-0.502000	0.023000	0.041000	-0.018000	0.078000
yafV	0.152000	0.142000	0.035000	0.007000		0.153000	0.048000	0.074000	0.037000	0.146000
b0011	0.063000	-0.395000		-0.092000	-0.461000			-0.137000	0.177000	-0.321000
b0011	0.350000	0.291000		0.269000	-0.340000			0.021000	0.109000	0.048000
ykgC	-0.396000	0.155000	-0.114000	-0.052000			-0.049000	-0.094000	0.171000	-0.072000
ykgC	-0.183000	0.168000	0.176000	0.177000			-0.067000	0.060000	0.158000	-0.009000
rpsT	-0.604000	-0.623000	-0.716000	-0.681000	-0.904000	-0.852000	-0.745000	-0.897000	-0.547000	-0.479000
rpsT	-0.722000	-0.613000	-0.488000	-0.483000	-0.756000	-0.827000	-0.785000	-0.767000	-0.434000	-0.477000
yahB		0.171000	0.028000	-0.117000			-0.226000	0.015000	0.110000	
yahB		0.279000	0.142000	0.094000			-0.164000	-0.071000	-0.087000	
hofC	0.120000		-0.043000					-0.060000	-0.330000	
hofC	-0.015000		0.090000					-0.132000	-0.364000	
yafB	0.294000	0.394000	-0.021000	-0.117000		0.345000	0.117000	-0.027000	0.208000	0.103000
yafB	0.350000	0.191000	0.183000	0.249000		0.128000	-0.004000	0.097000	0.208000	0.065000
acnB	-0.077000	0.015000	-0.123000	-0.083000		-0.465000	-0.369000	-0.302000	-0.116000	0.113000
acnB	-0.142000	-0.008000	-0.109000	0.089000		-0.319000	-0.352000	-0.409000	-0.206000	-0.100000
ykfE	0.090000	0.159000	-0.137000	-0.192000	-0.017000	0.043000	0.073000	0.076000	0.095000	
ykfE	0.121000	0.241000	-0.004000	0.092000	-0.053000	-0.036000	0.097000	0.062000	0.096000	
b0024			-0.051000	0.047000				-0.050000		
b0024			0.065000	0.167000				-0.059000		
yahC	-0.213000	-0.243000	-0.010000	-0.179000	0.017000			-0.106000		
yahC	0.094000	0.055000	-0.014000	0.065000	0.065000			-0.117000		
caiD				0.086000						
caiD				0.248000						
yahO	-0.500000	-0.114000		-0.030000		0.438000	0.152000	-0.006000	0.054000	-0.003000
yahO	-0.235000	-0.171000		0.167000		0.073000	0.153000	0.250000	0.229000	0.142000
yacL	-0.167000	0.002000	-0.018000	0.016000	-0.007000	-0.091000		0.164000	0.079000	0.096000
yacL	0.372000	0.223000	0.119000	0.135000	-0.111000	-0.086000		0.239000	0.153000	0.130000
yafH	-0.932000		-0.324000					-0.538000	-0.604000	-0.802000
yafH	-0.682000		-0.094000					-0.089000	-0.180000	-0.192000
panD	-0.368000	-0.229000	-0.489000	-0.514000			-0.511000		-0.257000	-0.169000
panD	-0.285000	-0.100000	-0.285000	-0.283000			-0.401000		-0.042000	-0.110000
yafO		0.137000	0.147000	-0.141000			-0.071000			
yafO		0.049000	0.083000	0.009000			0.149000			
ribF	0.144000		-0.102000	-0.074000	0.184000		0.091000		0.359000	
ribF	0.221000		0.105000	0.120000	0.369000		0.194000		0.388000	
yahD	-0.239000	0.103000	-0.130000	-0.131000			-0.459000	-0.150000	-0.200000	
yahD	-0.371000	0.108000	0.107000	0.161000			0.035000	-0.086000	-0.107000	
caiC	-0.233000	-0.380000	-0.129000	-0.217000	0.047000				0.086000	
caiC	-0.276000	-0.278000	-0.121000	-0.063000	0.929000				-0.055000	
prpR	-0.278000	-0.035000	0.009000	-0.128000						
prpR	0.193000	0.040000	0.040000	0.002000						
speD	-0.461000	-0.405000	-0.531000	-0.618000	-0.379000	-0.524000	-0.483000	-0.579000	-0.196000	-0.170000
speD	-0.396000	-0.453000	-0.452000	-0.319000	-0.358000	-0.451000	-0.489000	-0.476000	-0.253000	-0.198000
gmhA	0.111000	0.099000	-0.102000	-0.076000	-0.060000	-0.099000	0.147000	0.012000	0.148000	0.131000
gmhA	0.157000	0.224000	0.059000	0.205000	-0.004000	0.018000	0.089000	0.059000	0.207000	0.230000
yadD	0.143000	-0.008000	0.013000	-0.026000				0.533000	-0.089000	
yadD	-0.059000	-0.306000	0.179000	0.241000				0.022000	0.097000	
yafP	0.125000	0.102000	0.030000	-0.059000		0.218000	-0.184000	-0.044000	-0.313000	-0.167000
yafP	0.103000	0.161000	0.049000	0.134000		0.206000	0.024000	-0.081000	0.116000	0.293000
ileS		0.106000		-0.265000		0.008000	0.034000	-0.040000		
ileS		0.304000		-0.033000		0.116000	0.084000	0.010000		
yahE		-0.414000	0.070000	-0.304000						
yahE		0.057000	-0.249000	-0.070000						
caiB		-0.188000		-0.137000						
caiB		0.264000		0.186000						
prpB	-0.967000	-0.644000		0.086000						
prpB	-0.374000	-0.282000		0.009000						
speE	-0.517000	-0.400000		-0.701000	-0.463000		-0.471000	-0.522000	-0.618000	-0.526000
speE	-0.512000	-0.183000		-0.506000	-0.214000		-0.353000	-0.439000	-0.419000	-0.451000
yafJ	1.382000	-0.041000	-0.175000	-0.250000			0.024000	0.031000	-0.127000	0.254000
yafJ	0.248000	0.308000	-0.002000	0.014000			0.056000	0.012000	0.123000	0.126000
panC	-0.023000	0.072000	-0.220000	-0.216000		-1.247000	-0.138000	-0.173000	0.010000	0.014000
panC	0.071000	0.209000	-0.196000	0.027000		-0.110000	-0.004000	-0.108000	0.068000	0.059000
b0235	-0.325000	-0.133000	0.140000	-0.172000						
b0235	0.199000	0.013000	0.034000	-0.076000						
lspA	0.184000	-0.436000	-0.032000	-0.111000	0.137000	0.016000		-0.019000	-0.035000	-0.133000
lspA	0.277000	0.271000	0.139000	0.149000	0.010000	0.092000		-0.053000	0.101000	0.031000
yahF	-0.423000	-0.084000	-0.287000	-0.107000					-0.372000	
yahF	-0.310000	-0.197000	0.075000	-0.099000					-0.387000	
caiA	0.314000	-0.292000	0.188000	0.172000				0.417000	0.476000	0.374000
caiA	0.585000	0.396000	0.265000	0.207000				0.752000	0.448000	0.190000
b0332	-0.410000	0.105000	0.024000	0.095000			0.145000	0.083000	0.129000	
b0332	0.324000	0.124000	0.160000	0.147000			0.040000	0.598000	-0.086000	
yacC	0.115000	0.033000	-0.078000	-0.087000	0.078000	-0.010000	0.028000	0.015000	0.114000	0.150000
yacC	0.151000	-0.075000	0.079000	0.238000	0.078000	0.035000	0.028000	0.030000	0.204000	0.121000
yafK	-0.036000	0.059000	-0.358000	-0.446000			-0.225000	-0.251000	-0.065000	-0.173000
yafK	-0.052000	-0.013000	-0.235000	-0.141000			-0.243000	-0.249000	-0.111000	-0.166000
panB	0.340000	0.010000	-0.047000	-0.014000		0.268000	-0.050000	-0.082000	0.123000	-0.023000
panB	0.217000	0.225000	0.131000	0.280000		0.250000	0.036000	0.038000	0.135000	0.058000
prfH	0.055000	-0.080000	-0.023000	-0.151000						
prfH	0.237000	0.052000	0.083000	0.203000						
slpA		0.027000		-0.214000	0.064000	-0.186000		0.071000		-0.165000
slpA		0.175000		0.031000	0.016000	-0.194000		0.075000		0.011000
yahG				0.074000						
yahG				-0.083000						
caiT	-0.451000			0.030000						
caiT	0.330000			0.034000						
prpC		-0.540000	-0.395000	-0.086000						
prpC		0.249000	-0.004000	0.032000						
yacK				-0.244000			0.132000	0.039000	0.027000	-0.063000
yacK				0.080000			0.074000	0.044000	0.125000	0.043000
yafQ	-0.240000	-0.071000	-0.170000	-0.197000		-1.180000	0.032000	-0.023000		0.225000
yafQ	-0.073000	0.104000	-0.004000	-0.034000		-0.202000	0.088000	0.021000		0.190000
yadC	-0.419000	-0.201000	-0.386000	-0.064000				-0.321000	-0.436000	-1.303000
yadC	0.110000	0.050000	-0.083000	-0.013000				-0.506000	-0.568000	-0.400000
pepD		0.459000	0.144000	-0.046000	0.518000		0.167000	0.063000		0.259000
pepD		0.488000	0.036000	0.229000	0.352000		0.117000	0.120000		0.240000
lytB	0.096000	-0.550000	-0.185000	-0.222000	-0.334000		-0.065000	-0.162000	-0.102000	-0.088000
